Date,Consumo,Utilities,Financeiro,Energia,Commodities
2025-07-14,12.670703887939453,9.53253173828125,31.036903381347656,29.599275588989258,48.88570785522461
2025-07-15,12.651636123657227,9.496761322021484,31.143619537353516,29.369464874267578,49.423988342285156
2025-07-16,13.04253101348877,9.407340049743652,31.2947998046875,29.222389221191406,49.44356155395508
2025-07-17,12.832782745361328,9.353684425354004,31.766141891479492,28.928234100341797,49.423988342285156
2025-07-18,12.699305534362793,9.282147407531738,31.18808364868164,28.487003326416016,49.531646728515625
2025-07-21,12.794646263122559,9.371569633483887,31.552709579467773,28.542156219482422,49.913333892822266
2025-07-22,12.775577545166016,9.255319595336914,31.125835418701172,28.81792640686035,50.16779327392578
2025-07-23,12.956724166870117,9.460991859436035,31.472658157348633,29.40623664855957,50.64735412597656
2025-07-24,12.870918273925781,9.416279792785645,31.179197311401367,29.360273361206055,50.40268325805664
2025-07-25,12.842315673828125,9.371569633483887,31.31259536743164,29.39704132080078,51.44988250732422
2025-07-28,12.451421737670898,9.273202896118164,30.654497146606445,29.43381118774414,51.03883361816406
2025-07-29,12.575363159179688,9.344741821289062,30.832361221313477,29.819889068603516,50.74522018432617
2025-07-30,12.537226676940918,9.38945484161377,31.18808364868164,30.12323570251465,51.06819534301758
2025-07-31,11.879380226135254,9.237435340881348,31.268125534057617,30.003732681274414,51.03883361816406
2025-08-01,11.717302322387695,9.246377944946289,31.079185485839844,29.60846519470215,50.63756561279297
2025-08-04,11.831710815429688,9.210606575012207,31.40839195251465,29.5625057220459,49.688236236572266
2025-08-05,11.784039497375488,9.156953811645508,31.75539779663086,29.700389862060547,49.883975982666016
2025-08-06,11.89844799041748,9.335800170898438,32.15578842163086,29.73715591430664,50.52012634277344
2025-08-07,11.955652236938477,9.460991859436035,32.725223541259766,29.902618408203125,52.98643112182617
2025-08-08,11.793574333190918,9.541474342346191,32.947669982910156,28.06415557861328,53.417057037353516
2025-08-11,11.736371040344238,9.577242851257324,33.15230941772461,28.23880958557129,52.927711486816406
2025-08-12,11.6600980758667,9.756089210510254,33.83742904663086,28.312345504760742,52.937496185302734
2025-08-13,11.555224418640137,9.738204956054688,33.517112731933594,28.10092544555664,52.712398529052734
2025-08-14,11.459884643554688,9.67560863494873,33.47262954711914,27.7424259185791,52.76133346557617
2025-08-15,11.478952407836914,9.586186408996582,33.35696029663086,27.733232498168945,52.19369125366211
2025-08-18,11.507554054260254,9.630897521972656,33.597198486328125,27.907886505126953,51.479244232177734
2025-08-19,11.507554054260254,9.45205020904541,32.620994567871094,27.613733291625977,51.88050842285156
2025-08-20,11.53615665435791,9.809743881225586,32.63896179199219,27.779191970825195,51.371585845947266
2025-08-21,11.498021125793457,9.496761322021484,32.67489242553711,27.84354019165039,51.18563461303711
2025-08-22,11.641030311584473,9.729263305664062,33.59126281738281,28.644418716430664,52.614524841308594
2025-08-25,11.555224418640137,9.720320701599121,33.42056655883789,28.813636779785156,52.2719841003418
2025-08-26,11.612428665161133,9.827629089355469,33.19596862792969,28.6068172454834,51.48902893066406
2025-08-27,11.583826065063477,9.899168014526367,33.75297164916992,28.823036193847656,51.85114288330078
2025-08-28,11.679166793823242,9.943879127502441,34.453731536865234,29.076860427856445,51.704341888427734
2025-08-29,11.774506568908691,9.934937477111816,34.57950210571289,29.236677169799805,51.33244323730469
2025-09-01,11.726836204528809,9.854455947875977,34.85603332519531,29.302480697631836,51.4303092956543
2025-09-02,11.593360900878906,9.702436447143555,34.26280975341797,29.452896118164062,51.146488189697266
2025-09-03,11.345476150512695,9.71137809753418,33.96619415283203,29.19906997680664,50.862667083740234
2025-09-04,11.593360900878906,9.908109664916992,34.10102081298828,29.19906997680664,50.56905746459961
2025-09-05,11.679166793823242,9.961763381958008,34.47853088378906,28.757230758666992,50.88224411010742
2025-09-08,11.57429313659668,9.917052268981934,34.31673812866211,28.870040893554688,50.50054931640625
2025-09-09,11.755438804626465,9.908109664916992,34.02012252807617,29.09566307067871,50.8039436340332
2025-09-10,11.784039497375488,9.899168014526367,34.04709243774414,29.62211036682129,49.717594146728516
2025-09-11,11.93658447265625,9.872340202331543,34.110008239746094,29.50929832458496,50.45161437988281
2025-09-12,11.993788719177246,9.79185962677002,33.59768295288086,29.31188201904297,49.3554801940918
2025-09-15,12.041459083557129,9.925994873046875,34.15494918823242,29.565706253051758,49.423988342285156
2025-09-16,12.117731094360352,10.006474494934082,34.0650634765625,29.640913009643555,49.600154876708984
2025-09-17,12.194003105163574,10.194263458251953,34.5504264831543,29.81952667236328,49.815467834472656
2025-09-18,11.93658447265625,10.104841232299805,34.59536361694336,29.528100967407227,49.649085998535156
2025-09-19,11.965187072753906,10.095898628234863,35.053768157958984,29.19906997680664,49.423988342285156
2025-09-22,11.784039497375488,10.086955070495605,34.5504264831543,29.49049949645996,49.27717971801758
2025-09-23,11.879380226135254,10.212148666381836,35.09870147705078,29.988744735717773,49.06187057495117
2025-09-24,11.803108215332031,10.238975524902344,34.865013122558594,30.665605545043945,48.88570785522461
2025-09-25,11.879380226135254,9.997533798217773,34.58638381958008,30.421186447143555,49.16952896118164
2025-09-26,11.879380226135254,10.069071769714355,34.75716018676758,30.317773818969727,48.396358489990234
2025-09-29,11.831710815429688,10.086955070495605,34.95490264892578,29.904136657714844,48.1223258972168
2025-09-30,11.52662181854248,10.1611328125,35.11668395996094,29.575105667114258,48.83677291870117
2025-10-01,11.431282043457031,9.842174530029297,34.4851188659668,29.49989891052246,48.82698440551758
2025-10-02,11.374077796936035,9.851287841796875,34.10744094848633,29.217872619628906,49.032508850097656
2025-10-03,11.316873550415039,9.878626823425293,34.35922622680664,29.142667770385742,49.619728088378906
2025-10-06,11.297805786132812,9.878626823425293,33.96356964111328,28.879440307617188,48.44529342651367
2025-10-07,11.164329528808594,9.72370433807373,33.42404556274414,28.982851028442383,47.848289489746094
2025-10-08,11.326408386230469,9.732816696166992,33.486976623535156,28.813636779785156,46.810882568359375
2025-10-09,11.173864364624023,9.61434555053711,33.43302536010742,28.39999771118164,46.673858642578125
2025-10-10,11.25967025756836,9.632572174072266,33.39704895019531,28.146175384521484,47.1632080078125
2025-10-13,11.307339668273926,9.732816696166992,33.53194046020508,28.418798446655273,47.182777404785156
2025-10-14,11.488486289978027,9.769269943237305,33.675811767578125,28.22138214111328,46.96746826171875
2025-10-15,11.431282043457031,9.769269943237305,33.675811767578125,27.967559814453125,46.615142822265625
2025-10-16,11.583826065063477,9.778382301330566,33.59488296508789,27.68553352355957,46.781517028808594
